"1.1 At International level (medals won) – Individual Sports"
1.1,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
1.1,"NCOE Bengaluru",Individual,category-1,Taekwondo,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Bengaluru",Individual,category-1,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,1
1.1,"NCOE Bengaluru",Individual,category-1,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,1
1.1,"NCOE Mumbai",Individual,category-1,Wrestling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-1,"Kayaking & Canoeing",International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-1,Rowing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Imphal",Individual,category-1,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Imphal",Individual,category-1,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Imphal",Individual,category-1,Cycling,International,medals_won,0,0,0,3,0,0,0,0,0,0
1.1,"NCOE Imphal",Individual,category-1,Fencing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Imphal",Individual,category-1,Judo,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Imphal",Individual,category-1,Wushu,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Imphal",Individual,category-1,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE THIRUVANANTHAPURAM",Individual,category-1,Taekwondo,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE THIRUVANANTHAPURAM",Individual,category-1,Athletics,International,medals_won,3,1,1,0,0,0,0,0,1,0
1.1,"NCOE THIRUVANANTHAPURAM",Individual,category-1,Cycling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE DHARAMSHALA",Individual,category-1,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-1,Boxing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-1,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-1,Wushu,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Sonepat",Individual,category-1,Wrestling,International,medals_won,4,0,1,0,0,0,0,0,8,0
1.1,"NCOE Sonepat",Individual,category-1,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Sonepat",Individual,category-1,Archery,International,medals_won,2,0,3,0,1,0,0,0,5,0
1.1,"NCOE JAGATPUR",Individual,category-1,"Kayaking & Canoeing",International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE JAGATPUR",Individual,category-1,Rowing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE I G Stadium",Individual,category-1,Gymnastics,International,medals_won,0,1,0,0,0,0,0,1,0,0
1.1,"NCOE Kolkata",Individual,category-1,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Kolkata",Individual,category-1,Athletics,International,medals_won,0,1,0,0,0,0,0,0,0,0
1.1,"NCOE Kolkata",Individual,category-1,Gymnastics,International,medals_won,0,0,0,1,0,0,0,0,0,0
1.1,"NCOE Kolkata",Individual,category-1,"Table Tennis",International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Guwahati",Individual,category-1,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Guwahati",Individual,category-1,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Guwahati",Individual,category-1,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Guwahati",Individual,category-1,Boxing,International,medals_won,0,0,0,0,0,0,0,1,0,0
1.1,"NCOE Guwahati",Individual,category-1,Boxing,International,medals_won,0,0,0,0,0,0,0,1,0,0
1.1,"NCOE Guwahati",Individual,category-1,Cycling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.1,"NCOE Guwahati",Individual,category-1,Fencing,International,medals_won,0,0,0,0,0,0,0,0,0,0
"1.2 At International level (medals won) – Individual Sports"
1.2,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
1.2,"NCOE Bengaluru",Individual,category-2,Taekwondo,International,medals_won,0,0,0,1,0,0,0,0,0,0
1.2,"NCOE Bengaluru",Individual,category-2,Weightlifting,International,medals_won,0,0,0,1,0,0,0,0,0,1
1.2,"NCOE Bengaluru",Individual,category-2,Athletics,International,medals_won,0,0,1,1,0,0,0,2,1,1
1.2,"NCOE Mumbai",Individual,category-2,Wrestling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-2,"Kayaking & Canoeing",International,medals_won,0,1,0,0,0,0,0,0,0,0
1.2,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-2,Rowing,International,medals_won,0,0,0,0,0,0,0,1,0,0
1.2,"NCOE Imphal",Individual,category-2,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Imphal",Individual,category-2,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Imphal",Individual,category-2,Cycling,International,medals_won,0,0,2,0,0,0,0,0,0,0
1.2,"NCOE Imphal",Individual,category-2,Fencing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Imphal",Individual,category-2,Judo,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Imphal",Individual,category-2,Wushu,International,medals_won,0,0,0,0,0,0,0,0,7,1
1.2,"NCOE Imphal",Individual,category-2,Weightlifting,International,medals_won,0,0,1,0,0,0,0,0,0,0
1.2,"NCOE THIRUVANANTHAPURAM",Individual,category-2,Taekwondo,International,medals_won,0,0,0,8,0,0,0,0,0,2
1.2,"NCOE THIRUVANANTHAPURAM",Individual,category-2,Athletics,International,medals_won,0,0,1,2,0,0,0,0,0,0
1.2,"NCOE THIRUVANANTHAPURAM",Individual,category-2,Cycling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE DHARAMSHALA",Individual,category-2,Athletics,International,medals_won,0,1,0,0,0,0,0,0,0,0
1.2,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-2,Boxing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-2,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-2,Wushu,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Sonepat",Individual,category-2,Wrestling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Sonepat",Individual,category-2,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Sonepat",Individual,category-2,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE JAGATPUR",Individual,category-2,"Kayaking & Canoeing",International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE JAGATPUR",Individual,category-2,Rowing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE I G Stadium",Individual,category-2,Gymnastics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Kolkata",Individual,category-2,Archery,International,medals_won,0,1,0,0,0,0,0,0,0,0
1.2,"NCOE Kolkata",Individual,category-2,Athletics,International,medals_won,0,0,0,3,0,0,0,0,0,0
1.2,"NCOE Kolkata",Individual,category-2,Gymnastics,International,medals_won,0,0,0,0,0,0,0,0,0,1
1.2,"NCOE Kolkata",Individual,category-2,"Table Tennis",International,medals_won,0,3,0,0,0,0,0,0,0,2
1.2,"NCOE Guwahati",Individual,category-2,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Guwahati",Individual,category-2,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Guwahati",Individual,category-2,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Guwahati",Individual,category-2,Boxing,International,medals_won,0,0,0,0,0,1,0,1,0,3
1.2,"NCOE Guwahati",Individual,category-2,Boxing,International,medals_won,0,0,0,0,0,1,0,1,0,3
1.2,"NCOE Guwahati",Individual,category-2,Cycling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.2,"NCOE Guwahati",Individual,category-2,Fencing,International,medals_won,0,0,0,0,0,0,0,0,0,0
"1.3 At International level (medals won) – Individual Sports"
1.3,"NCOE Name","Team Type",Category,Displine,Level,"Form Type",Male-2018_19,"Female -2018_19","Male -2019_20","Female -2019_20","Male -2020_21","Female -2020_21","Male -2021_22","Female -2021_22","Male -2022_23","Female -2022_23"
1.3,"NCOE Bengaluru",Individual,category-3,Taekwondo,International,medals_won,0,0,1,3,0,1,0,0,0,2
1.3,"NCOE Bengaluru",Individual,category-3,Athletics,International,medals_won,0,0,1,0,0,0,0,0,0,0
1.3,"NCOE Bengaluru",Individual,category-3,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Mumbai",Individual,category-3,Wrestling,International,medals_won,0,0,0,0,0,0,0,0,1,0
1.3,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-3,"Kayaking & Canoeing",International,medals_won,0,0,0,0,0,0,0,0,0,2
1.3,"NCOE National Water Sports Academy (KI), Alleppey",Individual,category-3,Rowing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Imphal",Individual,category-3,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Imphal",Individual,category-3,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Imphal",Individual,category-3,Cycling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Imphal",Individual,category-3,Fencing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Imphal",Individual,category-3,Judo,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Imphal",Individual,category-3,Wushu,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Imphal",Individual,category-3,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE THIRUVANANTHAPURAM",Individual,category-3,Taekwondo,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE THIRUVANANTHAPURAM",Individual,category-3,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE THIRUVANANTHAPURAM",Individual,category-3,Cycling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE DHARAMSHALA",Individual,category-3,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-3,Boxing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-3,Weightlifting,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Sangey Lhaden Sports Academy (SLSA) Itanagar",Individual,category-3,Wushu,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Sonepat",Individual,category-3,Wrestling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Sonepat",Individual,category-3,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Sonepat",Individual,category-3,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE JAGATPUR",Individual,category-3,"Kayaking & Canoeing",International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE JAGATPUR",Individual,category-3,Rowing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE I G Stadium",Individual,category-3,Gymnastics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Kolkata",Individual,category-3,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Kolkata",Individual,category-3,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Kolkata",Individual,category-3,Gymnastics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Kolkata",Individual,category-3,"Table Tennis",International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Guwahati",Individual,category-3,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Guwahati",Individual,category-3,Archery,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Guwahati",Individual,category-3,Athletics,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Guwahati",Individual,category-3,Boxing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Guwahati",Individual,category-3,Boxing,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Guwahati",Individual,category-3,Cycling,International,medals_won,0,0,0,0,0,0,0,0,0,0
1.3,"NCOE Guwahati",Individual,category-3,Fencing,International,medals_won,0,0,0,0,0,0,0,0,0,0
"1.4 At International Level (Participation)- Individual Sports"
